N° pro forma;N° ordre;N° opération;Date d'opération;Code article;Type ope;Volume;Coût unitaire;Coût total
PRFOPE-MO REE-007442;3235979;3099502;28/03/2026;GEF;LIV;0.214;20.40;4.37
PRFOPE-MO REE-007442;3235979;3099502;28/03/2026;GHF;LIV;0.282;20.40;5.75
PRFOPE-MO REE-007442;3235979;3099502;28/03/2026;PAM;LIV;2.223;20.40;45.35
PRFOPE-MO REE-007442;3235979;3099502;28/03/2026;ECR;LIV;0.081;20.40;1.65
PRFOPE-MO REE-007442;3235979;3099502;28/03/2026;ASL-CAT1;LIV;0.110;0.00;0.00
PRFOPE-MO REE-007442;3235979;3099502;28/03/2026;ASL-CAT2;LIV;0.202;0.00;0.00
PRFOPE-MO REE-007442;3235979;3099502;28/03/2026;ABJ-TONA;LIV;0;0.00;0.00
PRFOPE-MO REE-007442;3235979;3099502;28/03/2026;ABJ-TONM;LIV;0;0.00;0.00
PRFOPE-MO REE-007442;3235979;3099502;28/03/2026;ABJ-AUT;LIV;3;0.00;0.00
PRFOPE-MO REE-007442;3248545;3111771;28/03/2026;GEF;DEC_REE;0.018;561.00;10.10
PRFOPE-MO REE-007442;3248545;3111771;28/03/2026;GHF;DEC_REE;0.000;561.00;0.00
PRFOPE-MO REE-007442;3248545;3111771;28/03/2026;PAM;DEC_REE;0.184;561.00;103.22
PRFOPE-MO REE-007442;3248545;3111771;28/03/2026;ECR;DEC_REE;0.012;561.00;6.73
PRFOPE-MO REE-007442;3248545;3111771;28/03/2026;ASL-CAT1;DEC_REE;0.050;550.00;27.50
PRFOPE-MO REE-007442;3248545;3111771;28/03/2026;ASL-CAT2;DEC_REE;0.012;350.00;4.20
PRFOPE-MO REE-007442;3248545;3111771;28/03/2026;ABJ-TONA;DEC_REE;0;30.00;0.00
PRFOPE-MO REE-007442;3248545;3111771;28/03/2026;ABJ-TONM;DEC_REE;0;8.00;0.00
PRFOPE-MO REE-007442;3248545;3111771;28/03/2026;ABJ-AUT;DEC_REE;2;5.00;10.00
